Record Type,Sr No,Name of Security, Series, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1453,SHRIRAMCIT,EQ,38637,12332,31.92
20,1454,SHRIRAMEPC,EQ,2948584,2244351,76.12
20,1455,SHUBHLAXMI,SM,1000,1000,100.00
20,1456,SHYAMCENT,EQ,51059,51059,100.00
20,1457,SHYAMMETL,EQ,1145843,527151,46.01
20,1458,SICAL,EQ,667078,426974,64.01
20,1459,SIEMENS,EQ,183111,90090,49.20
20,1460,SIGIND,EQ,140391,125112,89.12
20,1461,SIKKO,SM,8000,8000,100.00
20,1462,SILGO,EQ,18122,10359,57.16
20,1463,SILLYMONKS,EQ,3166,1635,51.64
20,1464,SILVERTUC,SM,7000,7000,100.00
20,1465,SIMPLEXINF,EQ,158400,93617,59.10
20,1466,SINTERCOM,EQ,893618,473374,52.97
20,1467,SINTEX,EQ,1934617,1194658,61.75
20,1468,SIRCA,EQ,27001,16043,59.42
20,1469,SIS,EQ,296959,110262,37.13
20,1470,SITINET,EQ,4084873,2642304,64.69
20,1471,SIYSIL,EQ,169485,60634,35.78
20,1472,SJVN,EQ,1549433,678048,43.76
20,1473,SKFINDIA,EQ,55706,21609,38.79
20,1474,SKIL,EQ,185336,165373,89.23
20,1475,SKIPPER,EQ,524208,234597,44.75
20,1476,SKMEGGPROD,EQ,485496,114619,23.61
20,1477,SKSTEXTILE,SM,1000,1000,100.00
20,1478,SMARTLINK,EQ,47963,21636,45.11
20,1479,SMCGLOBAL,EQ,574894,196731,34.22
20,1480,SMLISUZU,EQ,34864,15860,45.49
20,1481,SMSLIFE,EQ,6821,3372,49.44
20,1482,SMSPHARMA,EQ,149434,77624,51.95
20,1483,SMVD,SM,2000,2000,100.00
20,1484,SNOWMAN,EQ,2122754,873392,41.14
20,1485,SOBHA,EQ,286965,109126,38.03
20,1486,SOLARA,EQ,92420,56892,61.56
20,1487,SOLARINDS,EQ,13583,6893,50.75
20,1488,SOMATEX,EQ,105985,61991,58.49
20,1489,SOMICONVEY,EQ,16412,10907,66.46
20,1490,SONACOMS,EQ,4790986,2247917,46.92
20,1491,SONAMCLOCK,SM,9000,0,0.00
20,1492,SONATSOFTW,EQ,137782,81531,59.17
20,1493,SORILINFRA,EQ,53358,15517,29.08
20,1494,SOTL,EQ,20790,12109,58.24
20,1495,SOUTHBANK,EQ,15476005,6056363,39.13
20,1496,SOUTHWEST,EQ,397122,220208,55.45
20,1497,SPAL,EQ,399832,253267,63.34
20,1498,SPANDANA,EQ,75127,42908,57.11
20,1499,SPARC,EQ,1425425,355551,24.94
20,1500,SPECIALITY,EQ,431151,227102,52.67
20,1501,SPENCERS,EQ,2751979,858411,31.19
20,1502,SPIC,EQ,883435,439653,49.77
20,1503,SPICEJET,EQ,2063290,879028,42.60
20,1504,SPLIL,EQ,72235,41078,56.87
20,1505,SPMLINFRA,EQ,96796,66157,68.35
20,1506,SPTL,EQ,1624736,882146,54.29
20,1507,SREEL,EQ,185780,101456,54.61
20,1508,SREIBNPNCD,NJ,147,147,100.00
20,1509,SREIBNPNCD,NO,25,25,100.00
20,1510,SREIBNPNCD,NU,10,10,100.00
20,1511,SREIBNPNCD,NY,100,98,98.00
20,1512,SREIBNPNCD,Y1,25,25,100.00
20,1513,SREIBNPNCD,Y2,135,135,100.00
20,1514,SREIBNPNCD,Y3,11,11,100.00
