Record Type,Sr No,Name of Security, Series, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,566,GRAUWEIL,EQ,175020,106425,60.81
20,567,GRAVITA,EQ,285382,81372,28.51
20,568,GREAVESCOT,EQ,750734,300659,40.05
20,569,GREENLAM,EQ,8977,6904,76.91
20,570,GREENPANEL,EQ,122665,79567,64.87
20,571,GREENPLY,EQ,208369,115102,55.24
20,572,GREENPOWER,EQ,3728691,1625859,43.60
20,573,GRINDWELL,EQ,68110,36294,53.29
20,574,GRINFRA,EQ,195993,100130,51.09
20,575,GROBTEA,EQ,355,248,69.86
20,576,GRPLTD,EQ,1949,1361,69.83
20,577,GRSE,EQ,72270,22763,31.50
20,578,GSCLCEMENT,EQ,146214,74038,50.64
20,579,GSFC,EQ,18373735,6158282,33.52
20,580,GSPL,EQ,1016164,634027,62.39
20,581,GSS,EQ,340847,205540,60.30
20,582,GTPL,EQ,140404,82082,58.46
20,583,GUFICBIO,EQ,149489,77157,51.61
20,584,GUJALKALI,EQ,1143345,263545,23.05
20,585,GUJAPOLLO,EQ,10491,7025,66.96
20,586,GUJGASLTD,EQ,2365593,1161219,49.09
20,587,GULFOILLUB,EQ,42466,25182,59.30
20,588,GULFPETRO,EQ,326857,105289,32.21
20,589,HAL,EQ,474756,178677,37.64
20,590,HARRMALAYA,EQ,103398,52560,50.83
20,591,HATHWAY,EQ,2847468,1330703,46.73
20,592,HATSUN,EQ,283118,215183,76.00
20,593,HAVELLS,EQ,1033811,410820,39.74
20,594,HBANKETF,EQ,4728,2443,51.67
20,595,HBLPOWER,EQ,409065,170021,41.56
20,596,HBSL,EQ,9080,4258,46.89
20,597,HCC,EQ,3144823,2112209,67.16
20,598,HCG,EQ,62414,36455,58.41
20,599,HCL-INSYS,EQ,576031,343099,59.56
20,600,HCLTECH,EQ,8572321,5862044,68.38
20,601,HDFC,EQ,2645677,1614411,61.02
20,602,HDFC,W3,51000,35400,69.41
20,603,HDFCAMC,EQ,440283,274493,62.34
20,604,HDFCBANK,EQ,6386895,3472588,54.37
20,605,HDFCLIFE,EQ,2407512,1310248,54.42
20,606,HDFCMFGETF,EQ,413723,314224,75.95
20,607,HDFCNIFETF,EQ,39404,35690,90.57
20,608,HDFCSENETF,EQ,6382,5267,82.53
20,609,HECPROJECT,SM,7200,6000,83.33
20,610,HEG,EQ,60087,23967,39.89
20,611,HEIDELBERG,EQ,87258,41789,47.89
20,612,HEMIPROP,EQ,1204023,471607,39.17
20,613,HEOFRG1100,MF,1000,1000,100.00
20,614,HEOFRG1126,MF,5000,5000,100.00
20,615,HERANBA,EQ,353361,152637,43.20
20,616,HERCULES,EQ,65812,25807,39.21
20,617,HERITGFOOD,EQ,194881,98855,50.73
20,618,HEROMOTOCO,EQ,788979,424108,53.75
20,619,HESTERBIO,EQ,4959,2474,49.89
20,620,HGINFRA,EQ,114808,66600,58.01
20,621,HIKAL,EQ,148778,84320,56.68
20,622,HIL,EQ,8440,5306,62.87
20,623,HILTON,EQ,16348,13544,82.85
20,624,HINDALCO,EQ,6148679,2052757,33.39
20,625,HINDCOMPOS,EQ,16457,9048,54.98
20,626,HINDCON,EQ,7176,5423,75.57
20,627,HINDCOPPER,EQ,2573524,954741,37.10
20,628,HINDMOTORS,EQ,182660,150407,82.34
20,629,HINDOILEXP,EQ,4181182,1330322,31.82
20,630,HINDPETRO,EQ,10617222,4460794,42.01
20,631,HINDUNILVR,EQ,1078052,627253,58.18
20,632,HINDZINC,EQ,626305,315390,50.36
20,633,HIRECT,EQ,18751,9751,52.00
20,634,HISARMETAL,EQ,43335,14098,32.53
20,635,HITECH,EQ,28532,13765,48.24
20,636,HITECHCORP,EQ,11467,9653,84.18
20,637,HITECHGEAR,EQ,4943,3062,61.95
20,638,HLEGLAS,EQ,23333,9791,41.96
20,639,HLVLTD,EQ,1942031,847218,43.63
20,640,HMVL,EQ,134103,93168,69.47
20,641,HNDFDS,EQ,3529,2023,57.33
20,642,HNGSNGBEES,EQ,3010,1931,64.15
20,643,HOMEFIRST,EQ,140745,76549,54.39
20,644,HONAUT,EQ,4583,2260,49.31
20,645,HONDAPOWER,EQ,5157,3110,60.31
20,646,HPIL,SM,15000,15000,100.00
20,647,HPL,EQ,107982,73278,67.86
20,648,HSCL,EQ,7780223,2225157,28.60
20,649,HSIL,EQ,137044,56498,41.23
20,650,HTMEDIA,EQ,241286,128597,53.30
20,651,HUDCO,EQ,2159836,798031,36.95
20,652,HUDCO,N2,1451,1451,100.00
20,653,HUDCO,N3,489,489,100.00
20,654,HUDCO,N4,150,150,100.00
20,655,HUDCO,N5,50,50,100.00
20,656,HUDCO,N7,240,240,100.00
20,657,HUDCO,N8,1,1,100.00
20,658,HUDCO,ND,114,104,91.23
20,659,HUDCO,NE,60,60,100.00
20,660,HUHTAMAKI,EQ,52800,25943,49.13
20,661,IBMFNIFTY,EQ,457,278,60.83
20,662,IBREALEST,EQ,11306345,4231800,37.43
20,663,IBUCCREDIT,N7,5,5,100.00
20,664,IBUCCREDIT,N9,136,136,100.00
20,665,IBUCCREDIT,ND,147,147,100.00
20,666,IBULHSGFIN,EQ,19014155,6823662,35.89
20,667,IBULHSGFIN,N8,24,24,100.00
20,668,IBULHSGFIN,NH,103800,103800,100.00
20,669,IBULHSGFIN,NT,1,1,100.00
20,670,ICEMAKE,EQ,27453,14604,53.20
20,671,ICICI500,EQ,2275,1856,81.58
20,672,ICICIALPLV,EQ,23163,22775,98.32
20,673,ICICIB22,EQ,442876,382348,86.33
20,674,ICICIBANK,EQ,13491839,8806092,65.27
20,675,ICICIBANKN,EQ,69428,66481,95.76
20,676,ICICIBANKP,EQ,84622,80742,95.41
20,677,ICICIFMCG,EQ,2641,2265,85.76
20,678,ICICIGI,EQ,509543,239229,46.95
20,679,ICICIGOLD,EQ,216672,181361,83.70
20,680,ICICILIQ,EQ,18377,18327,99.73
20,681,ICICILOVOL,EQ,110772,105889,95.59
20,682,ICICIM150,EQ,17963,9301,51.78
20,683,ICICIMCAP,EQ,11806,7582,64.22
20,684,ICICINF100,EQ,10955,5770,52.67
20,685,ICICINIFTY,EQ,136945,93520,68.29
20,686,ICICINV20,EQ,38283,21936,57.30
20,687,ICICINXT50,EQ,52316,28853,55.15
20,688,ICICIPHARM,EQ,9216,6518,70.72
20,689,ICICIPRULI,EQ,1058564,471256,44.52
20,690,ICICISENSX,EQ,2912,2426,83.31
20,691,ICICITECH,EQ,169188,146918,86.84
20,692,ICIL,EQ,1591982,724549,45.51
20,693,ICRA,EQ,2121,1719,81.05
20,694,IDBI,EQ,89531470,35417164,39.56
20,695,IDBIGOLD,EQ,27,11,40.74
20,696,IDEA,EQ,319440917,113730612,35.60
20,697,IDFC,EQ,3863997,2090819,54.11
20,698,IDFCFIRSTB,EQ,35617298,15791735,44.34
20,699,IDFCFIRSTB,N9,4,4,100.00
20,700,IDFCFIRSTB,NA,15,15,100.00
20,701,IDFCFIRSTB,NB,16,16,100.00
20,702,IDFCFIRSTB,NC,23,23,100.00
20,703,IDFCFIRSTB,NE,2,2,100.00
20,704,IDFNIFTYET,EQ,19265,7827,40.63
20,705,IEX,EQ,4386310,805678,18.37
20,706,IFBAGRO,EQ,13092,7924,60.53
20,707,IFBIND,EQ,49026,21386,43.62
20,708,IFCI,EQ,55998593,13823584,24.69
20,709,IFCI,NF,19,18,94.74
20,710,IFCI,NH,1812,1803,99.50
20,711,IFGLEXPOR,EQ,34052,15536,45.62
20,712,IGARASHI,EQ,120972,52465,43.37
20,713,IGL,EQ,3815517,2638464,69.15
20,714,IGPL,EQ,73677,35672,48.42
20,715,IIFCL,N2,2075,2000,96.39
20,716,IIFCL,N4,50,50,100.00
20,717,IIFL,EQ,617110,397593,64.43
20,718,IIFL,N3,1,1,100.00
20,719,IIFL,N4,2288,2243,98.03
20,720,IIFL,N5,113,103,91.15
20,721,IIFL,N6,2123,2048,96.47
