Record Type,Sr No,Name of Security, Series, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,80,AMBIKCO,EQ,24894,12628,50.73
20,81,AMBUJACEM,EQ,2505330,1480614,59.10
20,82,AMDIND,EQ,46894,35002,74.64
20,83,AMIORG,EQ,644858,148044,22.96
20,84,AMJLAND,EQ,64408,41823,64.93
20,85,AMRUTANJAN,EQ,56661,23039,40.66
20,86,ANANTRAJ,EQ,445422,300763,67.52
20,87,ANDHRAPAP,EQ,223419,117667,52.67
20,88,ANDHRSUGAR,EQ,190155,86283,45.38
20,89,ANDREWYU,EQ,2538331,1078525,42.49
20,90,ANGELBRKG,EQ,516226,166882,32.33
20,91,ANIKINDS,EQ,30256,30230,99.91
20,92,ANMOL,EQ,64443,30973,48.06
20,93,ANSALAPI,EQ,216748,172462,79.57
20,94,ANSALHSG,EQ,40389,33386,82.66
20,95,ANUP,EQ,20558,9623,46.81
20,96,ANURAS,EQ,60751,27920,45.96
20,97,APARINDS,EQ,409185,175456,42.88
20,98,APCL,EQ,20131,13142,65.28
20,99,APCOTEXIND,EQ,207774,91887,44.22
20,100,APEX,EQ,749154,216809,28.94
20,101,APLAPOLLO,EQ,503854,358326,71.12
20,102,APLLTD,EQ,135258,59736,44.16
20,103,APOLLO,EQ,152117,93962,61.77
20,104,APOLLOHOSP,EQ,425555,173736,40.83
20,105,APOLLOPIPE,EQ,121661,79839,65.62
20,106,APOLLOTYRE,EQ,1776081,574577,32.35
20,107,APOLSINHOT,EQ,5113,3283,64.21
20,108,APTECHT,EQ,468675,148771,31.74
20,109,APTUS,EQ,1762675,826765,46.90
20,110,ARCHIDPLY,EQ,9857,7723,78.35
20,111,ARENTERP,EQ,21451,12663,59.03
20,112,ARIES,EQ,87038,60232,69.20
20,113,ARIHANT,EQ,11332,6920,61.07
20,114,ARIHANTCAP,EQ,47290,30005,63.45
20,115,ARIHANTSUP,EQ,494431,242113,48.97
20,116,ARMANFIN,EQ,124806,42309,33.90
20,117,AROGRANITE,EQ,42169,30468,72.25
20,118,ARROWGREEN,EQ,12117,7755,64.00
20,119,ARSHIYA,EQ,64650,51599,79.81
20,120,ARSSINFRA,EQ,55443,34229,61.74
20,121,ARTEMISMED,EQ,180436,132730,73.56
20,122,ARVIND,EQ,8673171,2809240,32.39
20,123,ARVINDFASN,EQ,3026427,1171378,38.70
20,124,ARVSMART,EQ,196598,102397,52.08
20,125,ASAHIINDIA,EQ,115505,71140,61.59
20,126,ASAHISONG,EQ,117852,66125,56.11
20,127,ASALCBR,EQ,469464,209298,44.58
20,128,ASCOM,SM,4000,4000,100.00
20,129,ASHAPURMIN,EQ,330715,213124,64.44
20,130,ASHIANA,EQ,116830,55603,47.59
20,131,ASHIMASYN,EQ,109686,59126,53.90
20,132,ASHOKA,EQ,1539281,619996,40.28
20,133,ASHOKLEY,EQ,13242500,4241306,32.03
20,134,ASIANHOTNR,EQ,17998,8980,49.89
20,135,ASIANPAINT,EQ,909337,353380,38.86
20,136,ASIANTILES,EQ,1154745,449528,38.93
20,137,ASLIND,SM,4000,4000,100.00
20,138,ASPINWALL,EQ,12603,6106,48.45
20,139,ASTEC,EQ,11658,5858,50.25
20,140,ASTERDM,EQ,1005177,345521,34.37
20,141,ASTRAL,EQ,573532,228107,39.77
20,142,ASTRAMICRO,EQ,483487,198377,41.03
20,143,ASTRAZEN,EQ,7047,4063,57.66
20,144,ASTRON,EQ,749051,298482,39.85
20,145,ATALREAL,SM,17600,16000,90.91
20,146,ATFL,EQ,6400,3874,60.53
20,147,ATUL,EQ,20588,7475,36.31
20,148,ATULAUTO,EQ,401607,139288,34.68
20,149,AUBANK,EQ,1151917,310478,26.95
20,150,AURDIS,SM,28000,28000,100.00
20,151,AUROPHARMA,EQ,2241909,862028,38.45
20,152,AUTOAXLES,EQ,13455,7871,58.50
20,153,AUTOIND,EQ,18320,11102,60.60
20,154,AVADHSUGAR,EQ,183014,75085,41.03
20,155,AVANTIFEED,EQ,688358,223319,32.44
20,156,AVTNPL,EQ,281737,116821,41.46
20,157,AWHCL,EQ,455541,229995,50.49
20,158,AXISBANK,EQ,3945224,1749195,44.34
20,159,AXISBNKETF,EQ,380,251,66.05
20,160,AXISBPSETF,EQ,1268685,1258039,99.16
20,161,AXISCADES,EQ,1066943,457786,42.91
20,162,AXISCETF,EQ,7220,6008,83.21
20,163,AXISGOLD,EQ,94831,71899,75.82
20,164,AXISHCETF,EQ,7081,6066,85.67
20,165,AXISNIFTY,EQ,6224,4997,80.29
20,166,AXISTECETF,EQ,8780,5845,66.57
20,167,AYMSYNTEX,EQ,78093,40971,52.46
20,168,BAFNAPH,EQ,2958,1945,65.75
20,169,BAJAJ-AUTO,EQ,287612,131635,45.77
20,170,BAJAJCON,EQ,394985,230875,58.45
20,171,BAJAJELEC,EQ,163627,81633,49.89
20,172,BAJAJFINSV,EQ,268163,41654,15.53
20,173,BAJAJHLDNG,EQ,44484,14210,31.94
20,174,BAJFINANCE,EQ,773243,226772,29.33
20,175,BALAJITELE,EQ,659062,234257,35.54
20,176,BALAMINES,EQ,110261,56388,51.14
20,177,BALAXI,EQ,2118,1374,64.87
20,178,BALKRISIND,EQ,397877,277889,69.84
20,179,BALMLAWRIE,EQ,569253,265051,46.56
20,180,BALPHARMA,EQ,55218,32249,58.40
20,181,BALRAMCHIN,EQ,1514770,587868,38.81
20,182,BANARBEADS,EQ,17447,12448,71.35
20,183,BANARISUG,EQ,4537,2590,57.09
20,184,BANCOINDIA,EQ,128339,58896,45.89
20,185,BANDHANBNK,EQ,3484521,1078972,30.96
20,186,BANKBARODA,EQ,27059658,5883149,21.74
20,187,BANKBEES,EQ,381322,252439,66.20
20,188,BANKINDIA,EQ,6895984,2846608,41.28
20,189,BANSWRAS,EQ,200314,152698,76.23
20,190,BARBEQUE,EQ,69935,35070,50.15
20,191,BASF,EQ,58771,25692,43.72
20,192,BASML,EQ,159755,101815,63.73
20,193,BATAINDIA,EQ,764129,293167,38.37
20,194,BAYERCROP,EQ,26201,18729,71.48
20,195,BBL,EQ,8811,5037,57.17
20,196,BBTC,EQ,100558,30558,30.39
20,197,BCLIND,EQ,91646,55967,61.07
20,198,BCONCEPTS,SM,21000,3000,14.29
20,199,BCP,EQ,290480,223750,77.03
20,200,BDL,EQ,447969,324083,72.34
20,201,BEARDSELL,EQ,40094,17466,43.56
20,202,BECTORFOOD,EQ,154654,101812,65.83
20,203,BEDMUTHA,EQ,30633,20752,67.74
20,204,BEL,EQ,6244510,2594575,41.55
20,205,BEML,EQ,457392,168433,36.82
20,206,BEPL,EQ,7384203,2607124,35.31
20,207,BERGEPAINT,EQ,404939,137575,33.97
20,208,BESTAGRO,EQ,33480,12437,37.15
20,209,BETA,SM,7200,5200,72.22
20,210,BEWLTD,SM,10000,6000,60.00
20,211,BFINVEST,EQ,17431,5385,30.89
20,212,BFUTILITIE,EQ,140390,46196,32.91
20,213,BGRENERGY,EQ,2152146,712522,33.11
20,214,BHAGERIA,EQ,905790,259841,28.69
20,215,BHAGYANGR,EQ,96028,65881,68.61
20,216,BHAGYAPROP,EQ,4549,2389,52.52
20,217,BHANDARI,EQ,415304,208298,50.16
20,218,BHARATFORG,EQ,2455538,1163682,47.39
20,219,BHARATGEAR,EQ,128671,80117,62.27
20,220,BHARATRAS,EQ,3706,1173,31.65
20,221,BHARTIARTL,EQ,25598885,12409556,48.48
20,222,BHEL,EQ,59198873,11064617,18.69
20,223,BIGBLOC,EQ,24675,16430,66.59
20,224,BIL,EQ,8602,4143,48.16
20,225,BINDALAGRO,EQ,265908,158905,59.76
20,226,BIOCON,EQ,1114071,352844,31.67
20,227,BIOFILCHEM,EQ,28632,19741,68.95
20,228,BIRET,RR,508847,464565,91.30
20,229,BIRLACORPN,EQ,85876,53167,61.91
20,230,BIRLAMONEY,EQ,73763,49855,67.59
20,231,BIRLATYRE,EQ,177597,126668,71.32
20,232,BLBLIMITED,EQ,47404,27561,58.14
20,233,BLISSGVS,EQ,160377,77004,48.01
20,234,BLKASHYAP,EQ,2089978,1218116,58.28
20,235,BLS,EQ,466901,238782,51.14
20,236,BLUEDART,EQ,16470,6400,38.86
20,237,BLUESTARCO,EQ,37714,14210,37.68
20,238,BODALCHEM,EQ,14891757,3531704,23.72
20,239,BOHRA,SM,2000,2000,100.00
20,240,BOMDYEING,EQ,3259006,753832,23.13
20,241,BOROLTD,EQ,192585,105773,54.92
20,242,BORORENEW,EQ,604769,334764,55.35
20,243,BOSCHLTD,EQ,23529,15162,64.44
20,244,BPCL,EQ,9010146,4653649,51.65
20,245,BRIGADE,EQ,699092,203092,29.05
20,246,BRIGHT,SM,90000,81000,90.00
20,247,BRITANNIA,EQ,131731,61545,46.72
20,248,BRITANNIA,N2,7483,7480,99.96
20,249,BRITANNIA,N3,23220,18737,80.69
20,250,BRNL,EQ,245241,118488,48.31
20,251,BROOKS,EQ,87026,65674,75.46
20,252,BSE,EQ,677207,251177,37.09
20,253,BSL,EQ,16342,10500,64.25
20,254,BSLGOLDETF,EQ,72,39,54.17
20,255,BSLNIFTY,EQ,1137,677,59.54
20,256,BSOFT,EQ,1278602,713894,55.83
20,257,BURGERKING,EQ,802981,380566,47.39
20,258,BUTTERFLY,EQ,52292,36768,70.31
20,259,BYKE,EQ,311777,154514,49.56
20,260,CADILAHC,EQ,1434639,526918,36.73
20,261,CADSYS,SM,6000,6000,100.00
20,262,CALSOFT,EQ,526725,341381,64.81
20,263,CAMLINFINE,EQ,883746,387589,43.86
20,264,CAMS,EQ,569386,287055,50.41
20,265,CANBK,EQ,16562629,4172424,25.19
20,266,CANFINHOME,EQ,1137539,275276,24.20
20,267,CANTABIL,EQ,25105,13086,52.13
20,268,CAPACITE,EQ,1068663,548053,51.28
20,269,CAPLIPOINT,EQ,598979,148154,24.73
20,270,CAPTRUST,EQ,3784,3176,83.93
20,271,CARBORUNIV,EQ,163804,125326,76.51
20,272,CAREERP,EQ,43107,31677,73.48
20,273,CARERATING,EQ,67110,40988,61.08
20,274,CARTRADE,EQ,212061,110906,52.30
20,275,CASTROLIND,EQ,736401,395510,53.71
20,276,CCL,EQ,372099,272690,73.28
20,277,CEATLTD,EQ,94184,31069,32.99
20,278,CELEBRITY,EQ,33133,25087,75.72
20,279,CENTENKA,EQ,34504,22644,65.63
20,280,CENTEXT,EQ,323021,273501,84.67
20,281,CENTRALBK,EQ,9965529,2545525,25.54
20,282,CENTRUM,EQ,3884901,1772336,45.62
20,283,CENTUM,EQ,320635,78993,24.64
20,284,CENTURYPLY,EQ,138577,66112,47.71
20,285,CENTURYTEX,EQ,247336,50560,20.44
20,286,CERA,EQ,7366,1996,27.10
20,287,CEREBRAINT,EQ,387041,141115,36.46
20,288,CESC,EQ,8007115,3621769,45.23
20,289,CGCL,EQ,26722,10252,38.37
20,290,CHALET,EQ,277595,127897,46.07
20,291,CHAMBLFERT,EQ,1078987,349568,32.40
20,292,CHEMBOND,EQ,98784,38640,39.12
